Index,Gene
870,APPBP2
871,APPL1
872,APPL2
873,APRT
874,APTX
875,AQP1
876,AQP10
877,AQP11
878,AQP12A
879,AQP12B
880,AQP2
881,AQP3
882,AQP4
883,AQP5
884,AQP6
885,AQP7
886,AQP8
887,AQP9
888,AQPEP
889,AQR
890,AR
891,ARAF
892,ARAP1
893,ARAP2
894,ARAP3
895,ARC
896,ARCN1
897,AREG
898,AREL1
899,ARF1
900,ARF3
901,ARF4
902,ARF5
903,ARF6
904,ARFGAP1
905,ARFGAP2
906,ARFGAP3
907,ARFGEF1
908,ARFGEF2
909,ARFIP1
910,ARFIP2
911,ARFRP1
912,ARG1
913,ARG2
914,ARGFX
915,ARGLU1
916,ARHGAP1
917,ARHGAP10
918,ARHGAP11A
919,ARHGAP11B
920,ARHGAP12
921,ARHGAP15
922,ARHGAP17
923,ARHGAP18
924,ARHGAP19
925,ARHGAP19-SLIT1
926,ARHGAP20
927,ARHGAP21
928,ARHGAP22
929,ARHGAP23
930,ARHGAP24
931,ARHGAP25
932,ARHGAP26
933,ARHGAP27
934,ARHGAP28
935,ARHGAP29
936,ARHGAP30
937,ARHGAP31
938,ARHGAP32
939,ARHGAP33
940,ARHGAP35
941,ARHGAP36
942,ARHGAP39
943,ARHGAP4
944,ARHGAP40
945,ARHGAP42
946,ARHGAP44
947,ARHGAP5
948,ARHGAP6
949,ARHGAP8
950,ARHGAP9
951,ARHGDIA
952,ARHGDIB
953,ARHGDIG
954,ARHGEF1
955,ARHGEF10
956,ARHGEF10L
957,ARHGEF11
958,ARHGEF12
959,ARHGEF15
960,ARHGEF16
961,ARHGEF17
962,ARHGEF18
963,ARHGEF19
964,ARHGEF2
965,ARHGEF25
966,ARHGEF26
967,ARHGEF28
968,ARHGEF3
969,ARHGEF33
970,ARHGEF35
971,ARHGEF37
972,ARHGEF38
973,ARHGEF39
974,ARHGEF4
975,ARHGEF40
976,ARHGEF5
977,ARHGEF6
978,ARHGEF7
979,ARHGEF9
980,ARID1A
981,ARID1B
982,ARID2
983,ARID3A
984,ARID3B
985,ARID3C
986,ARID4A
987,ARID4B
988,ARID5A
989,ARID5B
990,ARIH1
991,ARIH2
992,ARIH2OS
993,ARL1
994,ARL10
995,ARL11
996,ARL13A
997,ARL13B
998,ARL14
999,ARL14EP
1000,ARL14EPL
1001,ARL15
1002,ARL16
1003,ARL17A
1004,ARL17B
1005,ARL2
1006,ARL2-SNX15
1007,ARL2BP
1008,ARL3
1009,ARL4A
1010,ARL4C
1011,ARL4D
1012,ARL5A
1013,ARL5B
1014,ARL5C
1015,ARL6
1016,ARL6IP1
1017,ARL6IP4
1018,ARL6IP5
1019,ARL6IP6
1020,ARL8A
1021,ARL8B
1022,ARL9
1023,ARMC1
1024,ARMC10
1025,ARMC12
1026,ARMC2
1027,ARMC3
1028,ARMC4
1029,ARMC5
1030,ARMC6
1031,ARMC7
1032,ARMC8
1033,ARMC9
1034,ARMCX1
1035,ARMCX2
1036,ARMCX3
1037,ARMCX4
1038,ARMCX5
1039,ARMCX6
1040,ARMS2
1041,ARNT
1042,ARNT2
1043,ARNTL
1044,ARNTL2
1045,ARPC1A
1046,ARPC1B
1047,ARPC2
1048,ARPC3
1049,ARPC4
1050,ARPC4-TTLL3
1051,ARPC5
1052,ARPC5L
1053,ARPIN
1054,ARPP19
1055,ARPP21
1056,ARR3
1057,ARRB1
1058,ARRB2
1059,ARRDC1
1060,ARRDC2
1061,ARRDC3
1062,ARRDC4
1063,ARRDC5
1064,ARSA
1065,ARSB
1066,ARSD
1067,ARSE
1068,ARSF
1069,ARSG
1070,ARSH
1071,ARSI
1072,ARSJ
1073,ARSK
1074,ART1
1075,ART3
1076,ART4
1077,ART5
1078,ARTN
1079,ARV1
1080,ARVCF
1081,ARX
1082,AS3MT
1083,ASAH1
1084,ASAH2
1085,ASAH2B
1086,ASAP1
1087,ASAP2
1088,ASAP3
1089,ASB1
1090,ASB10
1091,ASB11
1092,ASB12
1093,ASB13
1094,ASB14
1095,ASB15
1096,ASB16
1097,ASB17
1098,ASB18
1099,ASB2
1100,ASB4
1101,ASB5
1102,ASB6
1103,ASB7
1104,ASB8
1105,ASB9
1106,ASCC1
1107,ASCC2
1108,ASCC3
1109,ASCL1
1110,ASCL2
1111,ASCL3
1112,ASCL4
1113,ASCL5
1114,ASF1A
1115,ASF1B
1116,ASGR1
1117,ASGR2
1118,ASH1L
1119,ASH2L
1120,ASIC1
1121,ASIC2
1122,ASIC3
1123,ASIC4
1124,ASIC5
1125,ASIP
1126,ASL
1127,ASMT
1128,ASMTL
1129,ASNA1
1130,ASNS
1131,ASNSD1
1132,ASPA
1133,ASPDH
1134,ASPG
1135,ASPH
1136,ASPHD1
1137,ASPHD2
1138,ASPM
1139,ASPN
1140,ASPRV1
1141,ASPSCR1
1142,ASRGL1
1143,ASS1
1144,ASTE1
1145,ASTL
1146,ASTN1
1147,ASTN2
1148,ASUN
1149,ASXL1
1150,ASXL2
1151,ASXL3
1152,ASZ1
1153,ATAD1
1154,ATAD2
1155,ATAD2B
1156,ATAD3A
1157,ATAD3B
1158,ATAD3C
1159,ATAD5
1160,ATAT1
1161,ATCAY
1162,ATE1
1163,ATF1
1164,ATF2
1165,ATF3
1166,ATF4
1167,ATF5
1168,ATF6
1169,ATF6B
1170,ATF7
1171,ATF7IP
1172,ATF7IP2
1173,ATG10
1174,ATG101
1175,ATG12
1176,ATG13
1177,ATG14
1178,ATG16L1
1179,ATG16L2
1180,ATG2A
1181,ATG2B
1182,ATG3
1183,ATG4A
1184,ATG4B
1185,ATG4C
1186,ATG4D
1187,ATG5
1188,ATG7
1189,ATG9A
1190,ATG9B
1191,ATHL1
1192,ATIC
1193,ATL1
1194,ATL2
1195,ATL3
1196,ATM
1197,ATMIN
1198,ATN1
1199,ATOH1
1200,ATOH7
1201,ATOH8
1202,ATOX1
1203,ATP10A
1204,ATP10B
1205,ATP10D
1206,ATP11A
1207,ATP11AUN
1208,ATP11B
1209,ATP11C
1210,ATP12A
1211,ATP13A1
1212,ATP13A2
1213,ATP13A3
1214,ATP13A4
1215,ATP13A5
1216,ATP1A1
1217,ATP1A2
1218,ATP1A3
1219,ATP1A4
1220,ATP1B1
1221,ATP1B2
1222,ATP1B3
1223,ATP1B4
1224,ATP2A1
1225,ATP2A2
1226,ATP2A3
1227,ATP2B1
1228,ATP2B2
1229,ATP2B3
1230,ATP2B4
1231,ATP2C1
1232,ATP2C2
1233,ATP4A
1234,ATP4B
1235,ATP5A1
1236,ATP5B
1237,ATP5C1
1238,ATP5D
1239,ATP5E
1240,ATP5EP2
1241,ATP5F1
1242,ATP5G1
1243,ATP5G2
1244,ATP5G3
1245,ATP5H
1246,ATP5I
1247,ATP5J
1248,ATP5J2
1249,ATP5J2-PTCD1
1250,ATP5L
1251,ATP5L2
1252,ATP5O
1253,ATP5S
1254,ATP5SL
1255,ATP6AP1
1256,ATP6AP1L
1257,ATP6AP2
1258,ATP6V0A1
1259,ATP6V0A2
1260,ATP6V0A4
1261,ATP6V0B
1262,ATP6V0C
1263,ATP6V0D1
1264,ATP6V0D2
1265,ATP6V0E1
1266,ATP6V0E2
1267,ATP6V1A
1268,ATP6V1B1
1269,ATP6V1B2
1270,ATP6V1C1
1271,ATP6V1C2
1272,ATP6V1D
1273,ATP6V1E1
1274,ATP6V1E2
1275,ATP6V1F
1276,ATP6V1G1
1277,ATP6V1G2
1278,ATP6V1G2-DDX39B
1279,ATP6V1G3
1280,ATP6V1H
1281,ATP7A
1282,ATP7B
1283,ATP8A1
1284,ATP8A2
1285,ATP8B1
1286,ATP8B2
1287,ATP8B3
1288,ATP8B4
1289,ATP9A
1290,ATP9B
1291,ATPAF1
1292,ATPAF2
1293,ATPIF1
1294,ATR
1295,ATRAID
1296,ATRIP
1297,ATRN
1298,ATRNL1
1299,ATRX
1300,ATXN1
1301,ATXN10
1302,ATXN1L
1303,ATXN2
1304,ATXN2L
1305,ATXN3
1306,ATXN3L
1307,ATXN7
1308,ATXN7L1
1309,ATXN7L2
1310,ATXN7L3
1311,ATXN7L3B
1312,AUH
1313,AUNIP
1314,AUP1
1315,AURKA
1316,AURKAIP1
1317,AURKB
1318,AURKC
1319,AUTS2
1320,AVEN
1321,AVIL
1322,AVL9
1323,AVP
1324,AVPI1
1325,AVPR1A
1326,AVPR1B
1327,AVPR2
1328,AWAT1
1329,AWAT2
1330,AXDND1
1331,AXIN1
1332,AXIN2
1333,AXL
1334,AZGP1
1335,AZI2
1336,AZIN1
1337,AZIN2
1338,AZU1
1339,B2M
1340,B3GALNT1
1341,B3GALNT2
1342,B3GALT1
1343,B3GALT2
1344,B3GALT4
1345,B3GALT5
1346,B3GALT6
1347,B3GALTL
1348,B3GAT1
1349,B3GAT2
1350,B3GAT3
1351,B3GNT2
1352,B3GNT3
1353,B3GNT4
1354,B3GNT5
1355,B3GNT6
1356,B3GNT7
1357,B3GNT8
1358,B3GNT9
1359,B3GNTL1
1360,B4GALNT1
1361,B4GALNT2
1362,B4GALNT3
1363,B4GALNT4
1364,B4GALT1
1365,B4GALT2
1366,B4GALT3
1367,B4GALT4
1368,B4GALT5
1369,B4GALT6
1370,B4GALT7
1371,B9D1
1372,B9D2
1373,BAALC
1374,BAAT
1375,BABAM1
1376,BACE1
1377,BACE2
1378,BACH1
1379,BACH2
1380,BAD
1381,BAG1
1382,BAG2
1383,BAG3
1384,BAG4
1385,BAG5
1386,BAG6
1387,BAHCC1
1388,BAHD1
1389,BAI1
1390,BAI2
1391,BAI3
1392,BAIAP2
1393,BAIAP2L1
1394,BAIAP2L2
1395,BAIAP3
1396,BAK1
1397,BAMBI
1398,BANF1
1399,BANF2
1400,BANK1
1401,BANP
1402,BAP1
1403,BARD1
1404,BARHL1
1405,BARHL2
1406,BARX1
1407,BARX2
1408,BASP1
1409,BATF
1410,BATF2
1411,BATF3
1412,BAX
1413,BAZ1A
1414,BAZ1B
1415,BAZ2A
1416,BAZ2B
1417,BBC3
1418,BBIP1
1419,BBOX1
1420,BBS1
1421,BBS10
1422,BBS12
1423,BBS2
1424,BBS4
1425,BBS5
1426,BBS7
1427,BBS9
1428,BBX
1429,BCAM
1430,BCAN
1431,BCAP29
1432,BCAP31
1433,BCAR1
1434,BCAR3
1435,BCAS1
1436,BCAS2
1437,BCAS3
1438,BCAS4
1439,BCAT1
1440,BCAT2
1441,BCCIP
1442,BCDIN3D
1443,BCHE
1444,BCKDHA
1445,BCKDHB
1446,BCKDK
1447,BCL10
1448,BCL11A
1449,BCL11B
1450,BCL2
1451,BCL2A1
1452,BCL2L1
1453,BCL2L10
1454,BCL2L11
1455,BCL2L12
1456,BCL2L13
1457,BCL2L14
1458,BCL2L15
1459,BCL2L2
1460,BCL2L2-PABPN1
1461,BCL3
1462,BCL6
1463,BCL6B
1464,BCL7A
1465,BCL7B
1466,BCL7C
1467,BCL9
1468,BCL9L
1469,BCLAF1
1470,BCO1
1471,BCO2
1472,BCOR
1473,BCORL1
1474,BCR
1475,BCS1L
1476,BDH1
1477,BDH2
1478,BDKRB1
1479,BDKRB2
1480,BDNF
1481,BDP1
1482,BEAN1
1483,BECN1
1484,BEGAIN
1485,BEND2
1486,BEND3
1487,BEND4
1488,BEND5
1489,BEND6
1490,BEND7
1491,BEST1
1492,BEST2
1493,BEST3
1494,BEST4
1495,BET1
1496,BET1L
1497,BEX1
1498,BEX2
1499,BEX4
1500,BEX5
1501,BFAR
1502,BFSP1
1503,BFSP2
1504,BGLAP
1505,BGN
1506,BHLHA15
1507,BHLHA9
1508,BHLHB9
1509,BHLHE22
1510,BHLHE23
1511,BHLHE40
1512,BHLHE41
1513,BHMT
1514,BHMT2
1515,BICC1
1516,BICD1
1517,BICD2
1518,BID
1519,BIK
1520,BIN1
1521,BIN2
1522,BIN3
1523,BIRC2
1524,BIRC3
1525,BIRC5
1526,BIRC6
1527,BIRC7
1528,BIRC8
1529,BIVM
1530,BIVM-ERCC5
1531,BLACE
1532,BLCAP
1533,BLID
1534,BLK
1535,BLM
1536,BLMH
1537,BLNK
1538,BLOC1S1
1539,BLOC1S2
1540,BLOC1S3
1541,BLOC1S4
1542,BLOC1S5
1543,BLOC1S5-TXNDC5
1544,BLOC1S6
1545,BLVRA
1546,BLVRB
1547,BLZF1
1548,BMF
1549,BMI1
1550,BMP1
1551,BMP10
1552,BMP15
1553,BMP2
1554,BMP2K
1555,BMP3
1556,BMP4
1557,BMP5
1558,BMP6
1559,BMP7
1560,BMP8A
1561,BMP8B
1562,BMPER
1563,BMPR1A
1564,BMPR1B
1565,BMPR2
1566,BMS1
1567,BMX
1568,BNC1
1569,BNC2
1570,BNIP1
1571,BNIP2
1572,BNIP3
1573,BNIP3L
1574,BNIPL
1575,BOC
1576,BOD1
1577,BOD1L1
1578,BOD1L2
1579,BOK
1580,BOLA1
1581,BOLA2
1582,BOLA2B
1583,BOLA3
1584,BOLL
1585,BOP1
1586,BORA
1587,BPGM
1588,BPHL
1589,BPI
1590,BPIFA1
1591,BPIFA2
1592,BPIFA3
1593,BPIFB1
1594,BPIFB2
1595,BPIFB3
1596,BPIFB4
1597,BPIFB6
1598,BPIFC
1599,BPNT1
1600,BPTF
1601,BPY2
1602,BPY2B
1603,BPY2C
1604,BRAF
1605,BRAP
1606,BRAT1
1607,BRCA1
1608,BRCA2
1609,BRCC3
1610,BRD1
1611,BRD2
1612,BRD3
1613,BRD4
1614,BRD7
